BAdI definition	BAdI implementation	Enhancement implementation	Class	Activation	Non-empty method includes	Count	Evidence location
LE_SHP_DELIVERY_PROC	ZEI_LE_DELIVERY_PROCESS	ZEI_LE_DELIVERY_PROCESS	ZCLLE_DELIVERY_PROCESS	Active	CM002 CM008 CM00A CM00B CM00F CM00G	6	SE16 REPOSRC DATALG>=200; SE18 spot impl list
LE_SHP_DELIVERY_PROC	ZLE_SHP_DELV_INTECO	ZENH_SHP_DELV_INTCO	ZCL_IM_LE_SHP_DELV_INTECO	Active	CM001 CM009 CM00E CM00F	4	SE16 REPOSRC DATALG>=200; SE18 spot impl list
LE_SHP_DELIVERY_PROC	ZLE_SHP_DELIVERY_PROC	ZLE_SHP_DELIVERY_PROC	ZCL_IM_LE_SHP_DELIVERY_PROC	Active	CM001 CM002 CM00H	3	SE16 REPOSRC DATALG>=200; CM001 opened = DELIVERY_FINAL_CHECK
LE_SHP_DELIVERY_PROC	ZSDEI_DELIVERY	ZSDEI_DELIVERY	ZCL_IM_SDEI_DELIVERY	Active	CM00E	1	SE16 REPOSRC DATALG>=200; SE18 spot impl list
LE_SHP_DELIVERY_PROC	ZSD_DELV_ATT_ENHC	ZSD_DELV_ATT_EHC	ZCL_IM_SD_DELV_ATT_ENHC	Active	(none)	0 CONFIRMED	All 17 method bodies read 2026-09-15 and confirmed empty; source-captures/2026-09-15-QS4-scripted/
LE_SHP_DELIVERY_PROC	ZSDE034_LIC_NOTIF	ZUCCSDE034_LIC_NOTIF	ZCL_IM_SDE034_LIC_NOTIF	Active	CM008 CM00A	2	SE16 REPOSRC DATALG>=200; SE18 spot impl list
DLV_CREATE_SLS_EXTIN (tbc)	tbc	ZEI_LE_UPDATE_DELIVERY_CUSTOM	ZCLLE_UPDATE_DELIVERY_CUSTOM	tbc	CM001	1	SE16 REPOSRC DATALG>=200
DLV_CREATE_STO_EXTIN (tbc)	tbc	ZEI_LE_UPDATE_DELIVERY_CUSTOM1	ZCLLE_UPDATE_DELIVERY_CUSTOM1	tbc	CM001	1	SE16 REPOSRC DATALG>=200
LE_SHP_DELIVERY_PROC	SHP_EXTEND_ODATA	(SAP classic impl)	CL_IM_SHP_EXTEND_ODATA	SAP-delivered	CM001 (SAVE_DOCUMENT_PREPARE only)	1	SXC_CLASS + SXC_EXIT 2026-09-15; OData extension-field mapping, no validation
# 2026-09-15: all method-include lists below verified complete against SE24 RowCount=17 (CM001-CM009 + CM00A-CM00H). Bodies captured in source-captures/2026-09-15-QS4-scripted/.
