SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
TABLE|VTTK
TITLE|Data Browser: Table VTTK Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=149
HDR|MANDT	TKNUM	VBTYP	SHTYP	TPLST	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET	STERM	ABFER	ABWST	BFART	VSART	VSAVL	VSANL	LAUFK	VSBED	ROUTE	SIGNI	EXTI1	EXTI2	TPBEZ	STDIS	DTDIS	UZDIS	STREG	DPREG	UPREG	DAREG	UAREG	STLBG	DPLBG	UPLBG	DALBG	UALBG	STLAD	DPLEN	UPLEN	DALEN	UALEN	STABF	DPABF	UPABF	DTABF	UZABF	STTBG	DPTBG	UPTBG	DATBG	UATBG	STTEN	DPTEN	UPTEN	DATEN	UATEN	STTRG	TDLNR	TERNR	PKSTK	DTMEG	DTMEV	DISTZ	MEDST	FAHZT	GESZT	MEIZT	STAFO	FBSTA	FBGST	ARSTA	ARGST	STERM_DONE	VSE_FRK	KKALSM	SDABW	FRKRL	GESZTD	FAHZTD	GESZTDA	FAHZTDA	ROCPY_DONE	HANDLE	TSEGFL	TSEGTP	ADD01	ADD02	ADD03	ADD04	TEXT1	TEXT2	TEXT3	TEXT4	PROLI	DGTLOCK	DGMDDAT	CONT_DG	WARZTD	WARZTDA	AULWE	TNDRST	TNDRRC	TNDR_TEXT	TNDRDAT	TNDRZET	TNDR_MAXP	TNDR_MAXC	TNDR_ACTP	TNDR_ACTC	TNDR_CARR	TNDR_CRNM	TNDR_TRKID	TNDR_EXPD	TNDR_EXPT	TNDR_ERPD	TNDR_ERPT	TNDR_LTPD	TNDR_LTPT	TNDR_ERDD	TNDR_ERDT	TNDR_LTDD	TNDR_LTDT	TNDR_LDLG	TNDR_LDLU	KZHULFR	ALLOWED_TWGT	VLSTK	VERURSYS	CM_IDENT	CM_SEQUENCE	EXT_FREIGHT_ORD	EXT_TM_SYS	/BEV1/RPFAR1	/BEV1/RPFAR2	/BEV1/RPMOWA	/BEV1/RPANHAE	/BEV1/RPFLGNR	/VSO/R_STATUS	ZZVEHICLE_NO	ZZDRIVER_NO	ZZDRIVER_NAME	ZZGROSS_WT	ZZNET_WT	ZZTARE_WT	ZZLR_GR_NO	ZZDRIVERMOB	ZZLR_GR_DATE	
ROW0|700	1100605471	8	Z001	7683	S019423	17.08.2026	11:11:28	S019423	17.08.2026	11:11:30	1	1	1	1	01			4		E36881					X	17.08.2026	11:11:28			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	11:11:28			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	484	KM						C		C	X			SP09		0	40000	0	0	X	kQ6UYyTe7{6clybYDhzkgW		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		HR55AZ3800			0.000	0.000	0.000				
ROW1|700	1100605472	8	Z001	7683	S011625	17.08.2026	17:01:44	S011625	17.08.2026	17:01:45	1	1	1	1	01			4		E36881					X	17.08.2026	17:01:44			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	17:01:44			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	484	KM						C		C	X			SP09		0	40000	0	0	X	kQ6UYyTe7{6cnUSuuNHW{G		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		RJ32GD6727			0.000	0.000	0.000				
ROW2|700	1100605473	8	Z001	7683	S011625	17.08.2026	17:29:13	S011625	17.08.2026	17:29:14	1	1	1	1	01			4		E36881					X	17.08.2026	17:29:13			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	17:29:13			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	484	KM						C		C	X			SP09		0	40000	0	0	X	kQ6UYyTe7{6cnc8JTLwdqW		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		RJ02GB0812			0.000	0.000	0.000				
ROW3|700	1302430242	8	Z003	1042	RVSD01	17.08.2026	18:02:15	RVSD01	17.08.2026	18:02:24	1	1	1	1	01			4	01	Q24274					X	17.08.2026	18:02:00			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	18:02:00			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	140	KM						C		A	X			SP01		0	53600	0	0	X	kQ6UYyTe7{6cnlCohkGlNm		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000					0.000	0.000	0.000				
ROW4|700	1302430243	8	Z003	1004	SCLADMIN	19.08.2026	14:14:48	SCLADMIN	19.08.2026	14:14:49	1	1	1	1	01			4		Q46182					X	19.08.2026	14:14:48			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	19.08.2026	14:14:48			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	307	KM						C		C	X			VT02		0	121600	0	0	X	kQ6UYyTe7z6czKTn2FSoHm		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		RJ01GC0886			0.000	10.000	10.000	1004/MIS/30003		19.08.2026	
ROW5|700	2101800561	8	Y003	1000	SCLADMIN	17.08.2026	10:25:11	SCLADMIN	17.08.2026	10:25:12	1	1	1	1	01			4		P53806					X	17.08.2026	10:25:11			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	10:25:11			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	2	KM						C			X			VT17		0	400	0	0	X	kQ6UYyTe7{6cllfnBIwabm		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		HR55AZ3800			15.000	5.000	10.000	1000/MIS/30002		17.08.2026	
ROW6|700	2101800562	8	Y003	1002	SCLADMIN	17.08.2026	10:59:45	SCLADMIN	17.08.2026	10:59:45	1	1	1	1	01			4		P27356					X	17.08.2026	10:59:45			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	10:59:45			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	2	KM						C			X			VT02		0	400	0	0	X	kQ6UYyTe7{6clvJv{iUhom		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		RJ01GC6185		YASH	0.000	10.000	10.000	1000/MIS/932705	9696530223	30.07.2026	
ROW7|700	2101800563	8	Y003	1000	SCLADMIN	17.08.2026	16:21:46			00:00:00	1	1	1	1	01			4		P53806					X	17.08.2026	16:21:46			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	16:21:46			00:00:00		00:00:00			00:00:00		00:00:00	5				KG	CDM	2	KM						A			X			VT01		0	400	0	0	X	kQ6UYyTe7z6cnJH}c{VtTG		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		RJ26GA3181			39.980	29.980	10.000				
ROW8|700	2101800564	8	Y003	1000	SCLADMIN	17.08.2026	16:52:20	SCLADMIN	17.08.2026	16:52:20	1	1	1	1	01			4		P53806					X	17.08.2026	16:52:20			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	16:52:20			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	2	KM						C			X			VT02		0	400	0	0	X	kQ6UYyTe7z6cnRqG}44{k0		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		RJ32GD6727			40.000	30.000	10.000				
ROW9|700	2101800565	8	Y003	1005	SCLADMIN	17.08.2026	17:09:41	SCLADMIN	17.08.2026	17:09:41	1	1	1	1	01			4		Q00672					X	17.08.2026	17:09:41			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	17:09:41			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	109	KM						C			X			VT10		0	42100	0	0	X	kQ6UYyTe7{6cnWgWrk9ZGG		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		DL01GC9562			0.000	10.000	10.000	1005/MIS/30002		17.08.2026	
