17.09.2026              Dynamic List Display                                                                        1


	VBELN	ERNAM	ERDAT	VSTEL	LFART	INCO1	ROUTE	LIFSK	KUNNR	WADAT_IST	WERKS	SDABW	WBSTK	ZZVBELN

	9004940000	S022843	09.08.2026	1301	ZLF	EXW	P16498		0011068398	09.08.2026			C
	9004940001	SH00143	09.08.2026	5217	ZNP	EXP	E27160		0011115189	09.08.2026		SP05	C
	9004940002	SH01576	09.08.2026	6102	ZNP	FTB	E11240		0020050694	09.08.2026		SP01	C
	9004940003	S004614	09.08.2026	1073	ZNP	FTB	Q21833		0020331918	09.08.2026			C
	9004940004	S017789	09.08.2026	1004	ZLF	FTB	Q08744		0020245395	10.08.2026			C
	9004940005	SCLADMIN	09.08.2026	2114	ZRMC	FTB	RT0001		0020314787	09.08.2026			C
	9004940006	S004614	09.08.2026	1073	ZNP	FTB	Q21833		0020331918	09.08.2026			C
	9004940007	S004614	09.08.2026	1073	ZNP	FTB	Q20306		0020067895	09.08.2026			C
	9004940008	SH01578	09.08.2026	6008	ZNP	FTB	D34370		0020366729	09.08.2026		SP01	C
	9004940009	SH00143	09.08.2026	5217	ZNP	EXP	E27160		0011115189	09.08.2026		SP05	C
	9004940010	S014700	09.08.2026	1004	ZNL	FTB	P96553		P6798	09.08.2026	6798		C
	9004940011	S014700	09.08.2026	1004	ZNL	FTB	P96553		P6798	10.08.2026	6798		C
	9004940012	SH01456	09.08.2026	6110	ZNP	FTP	E09905		0020320298	09.08.2026		SP01	C
	9004940013	S020972	09.08.2026	1071	ZNL	EXP	P55488		P4433	09.08.2026	4433		C
	9004940014	S004614	09.08.2026	1073	ZNL	FTB	R11952		P3898	10.08.2026	3898		C
	9004940015	SCLADMIN	09.08.2026	2105	ZRMC	FTB	RT0001		0020366878	09.08.2026			C
	9004940016	SH01576	09.08.2026	8132	ZNP	FTP	E12001		0020302715	09.08.2026		SP01	C
	9004940017	SH01374	09.08.2026	8130	ZNP	FTP	E58851		0040044747	09.08.2026		SP01	C
	9004940018	S014700	09.08.2026	1004	ZNL	FTB	P95919		P6803	10.08.2026	6803		C
	9004940019	SH01578	09.08.2026	6008	ZNP	FTB	D34370		0020366729	09.08.2026		SP01	C
	9004940020	SH01748	09.08.2026	6752	ZNP	FTP	E09984		0020272842	09.08.2026		SP01	C
	9004940021	SH01578	09.08.2026	6008	ZNP	FTB	D34370		0020366729	09.08.2026		SP01	C
	9004940022	SH01286	09.08.2026	6842	ZNP	FTP	E35390		0020022860	09.08.2026		SP01	C
	9004940023	SH01576	09.08.2026	6719	ZNP	FTP	E11280		0020301449	09.08.2026		SP01	C
	9004940024	SH01687	09.08.2026	5688	ZLF	FTB	E14572		0020373265	09.08.2026		SP07	C
	9004940025	S011584	09.08.2026	1014	ZNL	FTB	Q01017		P6120	09.08.2026	6120		C
	9004940026	SH01831	09.08.2026	6101	ZNP	FTP	E79508		0020036059	09.08.2026		SP01	C
	9004940027	SH01676	09.08.2026	6934	ZNP	FTB	E03532		0020368520	09.08.2026		SP01	C
	9004940028	SH01618	09.08.2026	6777	ZNP	FTB	D41316		0020370690			SP01	A
	9004940029	SH01633	09.08.2026	6781	ZNP	FTB	D49346		0011006311	09.08.2026		SP01	C
	9004940030	S015508	09.08.2026	1012	ZNP	FTB	Q27500		0020305224
	9004940031	S015508	09.08.2026	1012	ZNP	FTB	Q27413		0020321745
	9004940032	S020714	09.08.2026	1005	ZNP	FTB	Q25522		0011051574	09.08.2026			C
	9004940033	SH01576	09.08.2026	6719	ZNP	FTP	E11279		0020004881	09.08.2026		SP01	C
	9004940034	SH01831	09.08.2026	6101	ZNP	FTP	E79508		0020036059	09.08.2026		SP01	C
	9004940035	SH01676	09.08.2026	6934	ZNP	FTB	E03532		0020368520	09.08.2026		SP01	C
	9004940036	SCLADMIN	09.08.2026	2120	ZRMC	FTB	RT0001		0020303214	09.08.2026			C
	9004940037	SH01638	09.08.2026	6805	ZNP	FTB	D42213		0020376551	09.08.2026		SP01	C
	9004940038	SCLADMIN	09.08.2026	2101	ZRMC	FTB	RT0001		0011114486	09.08.2026			C
	9004940039	S014700	09.08.2026	1004	ZNP	FTB	P98971		0020365556	09.08.2026			C
	9004940040	SH01576	09.08.2026	6719	ZNP	FTP	E11269		0020318516	09.08.2026		SP01	C
	9004940041	SH01456	09.08.2026	6110	ZNP	FTP	E09905		0020320298	09.08.2026		SP01	C
	9004940042	SH01047	09.08.2026	6828	ZNP	FTP	E10090		0020360514	09.08.2026		SP04	C
	9004940043	SH01745	09.08.2026	3740	ZNP	FTB	E24538		0020315273	09.08.2026		SP01	C
	9004940044	S023364	09.08.2026	1071	ZLF	FTB	Q41181		0020370995	10.08.2026			C
	9004940045	S004813	09.08.2026	1002	ZLF	FTB	Q26703		0020160324	09.08.2026			C
	9004940046	S013608	09.08.2026	1042	ZNP	FTB	Q12650		0020146886	09.08.2026			C
	9004940047	SH01439	09.08.2026	3741	ZNP	EXP	E41015		0040030543	09.08.2026		SP01	C
	9004940048	S020415	09.08.2026	1004	ZLF	FTB	P26086		0020067134	10.08.2026			C
	9004940049	S011337	09.08.2026	1002	ZNP	FTB	Q27707		0020063064	10.08.2026			C
	9004940050	S011337	09.08.2026	1002	ZNP	FTB	Q27860		0020327315	10.08.2026			C
	9004940051	S011337	09.08.2026	1002	ZLF	FTB	Q27751		0020373960				A
	9004940052	S013608	09.08.2026	1042	ZNP	FTB	Q12650		0020146886	09.08.2026			C
	9004940053	SCLADMIN	09.08.2026	2104	ZRMC	FTB	RT0001		0020312341	09.08.2026			C
	9004940054	S020126	09.08.2026	1000	ZNL	FTB	P24034		P5062	09.08.2026	5062		C
	9004940055	SCLADMIN	09.08.2026	1000	ZNL	FOR	P39476		P1000	09.08.2026	1000		C
	9004940056	S011337	09.08.2026	1002	ZNP	FTB	Q27658		0020092915	10.08.2026			C
	9004940057	S011337	09.08.2026	1002	ZNP	FTB	Q27598		0020376880	10.08.2026			C
	9004940058	SH01374	09.08.2026	8130	ZNP	FTP	E58851		0040044747	09.08.2026		SP01	C
	9004940059	S011337	09.08.2026	1002	ZLF	FTB	Q27803		0020355003	09.08.2026			C
	9004940060	S021857	09.08.2026	2135	ZRMC	FTB	RT0001		0020333903	09.08.2026			C
	9004940061	S001520	09.08.2026	3791	ZNP	FTB	E55801		0020337990	09.08.2026		SP01	C
	9004940062	S016278	09.08.2026	1046	ZLF	FTB	Q38262		0020330668	09.08.2026			C
	9004940063	S016278	09.08.2026	1046	ZLF	FTB	Q38262		0020330668	09.08.2026			C
	9004940064	S020714	09.08.2026	1005	ZNP	FTB	Q09055		0020368162	09.08.2026			C
	9004940065	S016278	09.08.2026	1046	ZLF	FTB	Q39237		0020363821
	9004940066	S016278	09.08.2026	1046	ZLF	FTB	Q39237		0020363821
	9004940067	S016278	09.08.2026	1046	ZLF	FTB	Q39237		0020363821
	9004940068	SH01746	09.08.2026	3751	ZNP	FTP	E24550		0020353069	09.08.2026		SP01	C
	9004940069	S011337	09.08.2026	1002	ZNP	FTB	Q27628		0020370663				A
	9004940070	S021536	09.08.2026	1009	ZNP	FTB	Q10423		0020138016	09.08.2026			C
	9004940071	S021536	09.08.2026	1009	ZNP	FTB	Q10316		0020290668	09.08.2026			C
	9004940072	S021536	09.08.2026	1009	ZNP	FTB	Q10424		0011041610	09.08.2026			C
	9004940073	S021536	09.08.2026	1009	ZNP	FTB	Q10160		0020137430	09.08.2026			C
	9004940074	S016278	09.08.2026	1046	ZLF	FTB	Q39174		0020223775	09.08.2026			C
	9004940075	S021536	09.08.2026	1009	ZNP	FTB	Q10316		0020350392	09.08.2026			C
	9004940076	S016278	09.08.2026	1046	ZLF	FTB	Q39111		0020217465	10.08.2026			C
	9004940077	S021536	09.08.2026	1009	ZNP	FTB	Q10316		0020290668	09.08.2026			C
	9004940078	S016278	09.08.2026	1046	ZLF	FTB	Q39243		0020377156	10.08.2026			C
	9004940079	S021536	09.08.2026	1009	ZNP	FTB	Q27268		0020372476
	9004940080	S016278	09.08.2026	1046	ZLF	FTB	Q39155		0020343829	09.08.2026			C
	9004940081	S016278	09.08.2026	1046	ZLF	FTB	Q39233		0020369190
	9004940082	S021536	09.08.2026	1009	ZNP	FTB	Q27268		0020372476
	9004940083	S021536	09.08.2026	1009	ZNP	FTB	Q27268		0011085374
	9004940084	S021536	09.08.2026	1009	ZNP	FTB	Q10288		0020005206	09.08.2026			C
	9004940085	S014445	09.08.2026	1006	ZNP	FTB	P06699		0020285604	09.08.2026			C
	9004940086	S014445	09.08.2026	1006	ZNP	FTB	P99259		0020357744	09.08.2026			C
	9004940087	S014445	09.08.2026	1006	ZNP	FTB	P99259		0020302423	09.08.2026			C
	9004940088	SH01286	09.08.2026	6842	ZNP	FTP	E35390		0020019795	09.08.2026		SP01	C
	9004940089	S011337	09.08.2026	1002	ZNP	FTB	Q27683		0020376838	11.08.2026			C
	9004940090	S011337	09.08.2026	1002	ZNP	FTB	Q50036		0020376885	10.08.2026			C
	9004940091	S004153	09.08.2026	1000	ZNP	FTB	Q26482		0011044836	09.08.2026			C
	9004940092	S004153	09.08.2026	1000	ZNP	FTB	Q26482		0011044836	09.08.2026			C
	9004940093	SCLADMIN	09.08.2026	1040	ZNL	EXP	P24974		P5578	09.08.2026	5578	VT02	C
	9004940094	SH01456	09.08.2026	6110	ZNP	FTP	E09905		0020320298	09.08.2026		SP01	C
	9004940095	SH01748	09.08.2026	6752	ZNP	FTP	E09982		0020037297	09.08.2026		SP01	C
	9004940096	S011337	09.08.2026	1002	ZLF	FTB	Q41193		0011073628
	9004940097	S011337	09.08.2026	1002	ZLF	FTB	Q27878		0020371642	10.08.2026			C
	9004940098	S011337	09.08.2026	1002	ZNP	FTB	Q27722		0020376842	10.08.2026			C
	9004940099	SH00515	09.08.2026	5357	ZNP	FTB	E38892		0020345667	09.08.2026		SP05	C
	9004940100	S004155	09.08.2026	1009	ZNP	FTB	Q10124		0020067739	09.08.2026			C
	9004940101	S004155	09.08.2026	1009	ZNP	FTB	P99554		0020121755
	9004940102	S004155	09.08.2026	1009	ZNP	FTB	P99554		0020121755
	9004940103	S011336	09.08.2026	1002	ZLF	FTB	P98089		0020019833	09.08.2026			C
	9004940104	S011336	09.08.2026	1002	ZLF	FTB	P98089		0020019833	09.08.2026			C
	9004940105	S011336	09.08.2026	1002	ZLF	FTB	P98089		0020019833	09.08.2026			C
	9004940106	S011336	09.08.2026	1002	ZLF	FTB	P98089		0020019833	09.08.2026			C
	9004940107	S011336	09.08.2026	1002	ZNP	FTB	P05595		0011107764				A
	9004940108	S011336	09.08.2026	1002	ZLF	FTB	P05621		0011052086	10.08.2026			C
	9004940109	S011337	09.08.2026	1002	ZNP	FTB	Q27891		0020338413	09.08.2026			C
	9004940110	SCLADMIN	09.08.2026	1040	ZNL	EXP	P24974		P5578	09.08.2026	5578	VT02	C
	9004940111	SH01401	09.08.2026	6792	ZNP	FTB	E00032		0020366379	09.08.2026		SP08	C
	9004940112	SH00515	09.08.2026	5357	ZNP	FTB	E38892		0020345667	09.08.2026		SP05	C
	9004940113	S014377	09.08.2026	1004	ZNL	FTB	P70276		P6099	10.08.2026	6099		C
	9004940114	SH00515	09.08.2026	5357	ZNP	FTB	E38892		0020345667	09.08.2026		SP05	C
	9004940115	SH01047	09.08.2026	6828	ZNP	FTB	E10076		0020267962	09.08.2026		SP04	C
	9004940116	SH01746	09.08.2026	3751	ZNP	FTB	E24558		0020377172	09.08.2026		SP01	C
	9004940117	S011337	09.08.2026	1002	ZNP	FTB	Q27884		0020330569				A
	9004940118	S011337	09.08.2026	1002	ZLF	FTB	Q53319		0020372296	09.08.2026			C
	9004940119	S011337	09.08.2026	1002	ZNP	FTB	Q27652		0020207993	09.08.2026			C
	9004940120	S016278	09.08.2026	1040	ZLF	FTB	Q31187		0020369190
	9004940121	S011337	09.08.2026	1002	ZNP	FTB	Q27652		0020207993	09.08.2026			C
	9004940122	S011337	09.08.2026	1002	ZNP	FTB	Q27732		0020376690				A
	9004940123	S011337	09.08.2026	1002	ZNP	FTB	Q27652		0020283877	09.08.2026			C
	9004940124	S016278	09.08.2026	1040	ZLF	FTB	Q38701		0020269905	09.08.2026			C
	9004940125	S020714	09.08.2026	1005	ZNP	FTB	Q09098		0020274908	09.08.2026			C
	9004940126	SH01777	09.08.2026	4502	ZNP	FTP	E15586		0020068939	09.08.2026		SP01	C
	9004940127	SH01286	09.08.2026	6842	ZNP	FTP	E35390		0020264950	09.08.2026		SP01	C
	9004940128	SH00058	09.08.2026	4577	ZNP	FTP	E17291		0011040088	09.08.2026		SP01	C
	9004940129	SCLADMIN	09.08.2026	2116	ZRMC	FTB	RT0001		0020343906	09.08.2026			C
	9004940130	S020717	09.08.2026	1010	ZNP	FTB	Q16170		0020374684	09.08.2026			C
	9004940131	SH01796	09.08.2026	3854	ZNP	FTP	E60398		0020374864	09.08.2026		SP01	C
	9004940132	S011337	09.08.2026	1002	ZLF	FTB	Q54928		0020372868	09.08.2026			C
	9004940133	S020714	09.08.2026	1005	ZNP	FTB	Q09089		0020021017	10.08.2026			C
	9004940134	S020714	09.08.2026	1005	ZNP	FTB	Q09089		0020021017	10.08.2026			C
	9004940135	S004614	09.08.2026	1073	ZNL	FTB	P22018		P4469	09.08.2026	4469		C
	9004940136	SH00244	09.08.2026	4963	ZNP	FTP	E99248		0020088563	09.08.2026		SP02	C
	9004940137	S020714	09.08.2026	1005	ZNP	FTB	Q09089		0020021017
	9004940138	S004813	09.08.2026	1003	ZLF	FTB	Q59103		0020372595	09.08.2026			C
	9004940139	SH01796	09.08.2026	3854	ZNP	FTP	E60398		0020374864	09.08.2026		SP01	C
	9004940140	S011337	09.08.2026	1002	ZNP	FTB	Q27809		0020280634				A
	9004940141	SH01777	09.08.2026	4502	ZNP	FTP	E15586		0020068939	09.08.2026		SP01	C
	9004940142	SH00058	09.08.2026	3931	ZNP	FTP	E65016		0011040088	09.08.2026		SP01	C
