SESSION|QS4/700 located at connection[1] session[0]|user=QNOVATE8
TABLE|VFKK
TITLE|Data Browser: Table VFKK Select Entries      2,000
SBAR|Selection restricted to 2,000 hits
ALV|rows=2000|cols=18
HDR|MANDT	FKNUM	VBTYP	FKART	STERM	PRSDT	BUDAT	EXTI1	EXTI2	STBER	STFRE	STABR	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET	
ROW0|700	1600698899	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:00:57			00:00:00	
ROW1|700	1600698900	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:00:57			00:00:00	
ROW2|700	1600698901	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:00:58			00:00:00	
ROW3|700	1600698902	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:01:00			00:00:00	
ROW4|700	1600698903	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:09:12			00:00:00	
ROW5|700	1600698904	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:10:57			00:00:00	
ROW6|700	1600698905	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:11:23			00:00:00	
ROW7|700	1600698906	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:11:23			00:00:00	
ROW8|700	1600698907	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:12:18			00:00:00	
ROW9|700	1600698908	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:14:47			00:00:00	
ROW10|700	1600698909	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:14:49			00:00:00	
ROW11|700	1600698910	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:15:11			00:00:00	
ROW12|700	1600698911	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:18:03			00:00:00	
ROW13|700	1600698912	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	00:20:17			00:00:00	
ROW14|700	1600698913	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:21:17			00:00:00	
ROW15|700	1600698914	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:21:17			00:00:00	
ROW16|700	1600698915	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:21:18			00:00:00	
ROW17|700	1600698917	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:24:37			00:00:00	
ROW18|700	1600698918	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:24:38			00:00:00	
ROW19|700	1600698919	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:24:39			00:00:00	
ROW20|700	1600698920	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:26:22			00:00:00	
ROW21|700	1600698921	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:27:57			00:00:00	
ROW22|700	1600698922	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:27:58			00:00:00	
ROW23|700	1600698923	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:28:00			00:00:00	
ROW24|700	1600698924	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:31:07			00:00:00	
ROW25|700	1600698925	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:31:12			00:00:00	
ROW26|700	1600698926	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:31:13			00:00:00	
ROW27|700	1600698927	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:31:13			00:00:00	
ROW28|700	1600698928	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	00:31:13			00:00:00	
ROW29|700	1600698929	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:31:14			00:00:00	
ROW30|700	1600698930	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:32:58			00:00:00	
ROW31|700	1600698931	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:37:57			00:00:00	
ROW32|700	1600698932	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:37:58			00:00:00	
ROW33|700	1600698933	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:38:00			00:00:00	
ROW34|700	1600698934	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:41:17			00:00:00	
ROW35|700	1600698935	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:41:19			00:00:00	
ROW36|700	1600698936	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:41:52			00:00:00	
ROW37|700	1600698937	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:43:57			00:00:00	
ROW38|700	1600698938	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:44:42			00:00:00	
ROW39|700	1600698939	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:44:42			00:00:00	
ROW40|700	1600698940	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:44:45			00:00:00	
ROW41|700	1600698941	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:46:37			00:00:00	
ROW42|700	1600698942	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:48:02			00:00:00	
ROW43|700	1600698943	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:48:02			00:00:00	
ROW44|700	1600698945	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:48:37			00:00:00	
ROW45|700	1600698946	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:50:02			00:00:00	
ROW46|700	1600698947	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:51:27			00:00:00	
ROW47|700	1600698948	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:54:51			00:00:00	
ROW48|700	1600698949	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:58:00			00:00:00	
ROW49|700	1600698950	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:01:18			00:00:00	
ROW50|700	1600698951	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:04:52			00:00:00	
ROW51|700	1600698952	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:04:53			00:00:00	
ROW52|700	1600698954	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:08:12			00:00:00	
ROW53|700	1600698955	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:08:13			00:00:00	
ROW54|700	1600698956	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:08:13			00:00:00	
ROW55|700	1600698957	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	01:08:13			00:00:00	
ROW56|700	1600698958	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:10:52			00:00:00	
ROW57|700	1600698959	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:11:47			00:00:00	
ROW58|700	1600698960	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:11:47			00:00:00	
ROW59|700	1600698961	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:11:48			00:00:00	
ROW60|700	1600698962	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:15:12			00:00:00	
ROW61|700	1600698963	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:15:12			00:00:00	
ROW62|700	1600698964	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:15:13			00:00:00	
ROW63|700	1600698965	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:15:14			00:00:00	
ROW64|700	1600698966	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:16:02			00:00:00	
ROW65|700	1600698967	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:18:32			00:00:00	
ROW66|700	1600698968	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:18:32			00:00:00	
ROW67|700	1600698970	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:18:32			00:00:00	
ROW68|700	1600698971	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:18:33			00:00:00	
ROW69|700	1600698972	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:18:34			00:00:00	
ROW70|700	1600698973	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:19:17			00:00:00	
ROW71|700	1600698974	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:22:09			00:00:00	
ROW72|700	1600698975	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:25:37			00:00:00	
ROW73|700	1600698976	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:25:37			00:00:00	
ROW74|700	1600698977	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:27:42			00:00:00	
ROW75|700	1600698978	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:28:58			00:00:00	
ROW76|700	1600698979	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	01:28:59			00:00:00	
ROW77|700	1600698980	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	01:32:17			00:00:00	
ROW78|700	1600698982	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:32:17			00:00:00	
ROW79|700	1600698983	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:32:18			00:00:00	
ROW80|700	1600698985	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	01:32:20			00:00:00	
ROW81|700	1600698986	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:32:31			00:00:00	
ROW82|700	1600698987	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:34:32			00:00:00	
ROW83|700	1600698988	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:35:37			00:00:00	
ROW84|700	1600698989	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:35:37			00:00:00	
ROW85|700	1600698990	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:35:39			00:00:00	
ROW86|700	1600698991	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:35:47			00:00:00	
ROW87|700	1600698992	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:39:02			00:00:00	
ROW88|700	1600698993	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	01:39:04			00:00:00	
ROW89|700	1600698994	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:42:27			00:00:00	
ROW90|700	1600698995	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:45:53			00:00:00	
ROW91|700	1600698996	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:45:53			00:00:00	
ROW92|700	1600698997	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:46:10			00:00:00	
ROW93|700	1600698998	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:48:12			00:00:00	
ROW94|700	1600698999	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:49:22			00:00:00	
ROW95|700	1600699000	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:49:23			00:00:00	
ROW96|700	1600699002	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:49:24			00:00:00	
ROW97|700	1600699003	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:49:24			00:00:00	
ROW98|700	1600699004	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:49:24			00:00:00	
ROW99|700	1600699005	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:49:24			00:00:00	
ROW100|700	1600699006	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:49:28			00:00:00	
ROW101|700	1600699007	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:50:07			00:00:00	
ROW102|700	1600699010	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:56:27			00:00:00	
ROW103|700	1600699011	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:00:08			00:00:00	
ROW104|700	1600699012	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:03:19			00:00:00	
ROW105|700	1600699013	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:03:22			00:00:00	
ROW106|700	1600699014	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:03:22			00:00:00	
ROW107|700	1600699015	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:03:24			00:00:00	
ROW108|700	1600699016	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:06:47			00:00:00	
ROW109|700	1600699017	a	Z006		20.03.2026				C			SCLADMIN	31.03.2026	02:06:49			00:00:00	
ROW110|700	1600699019	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:06:50			00:00:00	
ROW111|700	1600699020	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:06:51			00:00:00	
ROW112|700	1600699021	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:13:57			00:00:00	
ROW113|700	1600699022	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:13:58			00:00:00	
ROW114|700	1600699023	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:14:00			00:00:00	
ROW115|700	1600699024	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:14:03			00:00:00	
ROW116|700	1600699025	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:15:47			00:00:00	
ROW117|700	1600699027	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:17:42			00:00:00	
ROW118|700	1600699028	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:17:44			00:00:00	
ROW119|700	1600699029	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	02:21:23			00:00:00	
ROW120|700	1600699030	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:21:24			00:00:00	
ROW121|700	1600699031	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:24:59			00:00:00	
ROW122|700	1600699032	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:28:43			00:00:00	
ROW123|700	1600699033	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:28:43			00:00:00	
ROW124|700	1600699034	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:33:12			00:00:00	
ROW125|700	1600699035	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	02:35:58			00:00:00	
ROW126|700	1600699036	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:39:28			00:00:00	
ROW127|700	1600699037	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:39:28			00:00:00	
ROW128|700	1600699038	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:42:02			00:00:00	
ROW129|700	1600699039	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:43:07			00:00:00	
ROW130|700	1600699040	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	02:43:07			00:00:00	
ROW131|700	1600699041	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:43:08			00:00:00	
ROW132|700	1600699042	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:43:10			00:00:00	
ROW133|700	1600699043	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:46:44			00:00:00	
ROW134|700	1600699044	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:50:27			00:00:00	
ROW135|700	1600699045	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	02:50:28			00:00:00	
ROW136|700	1600699046	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:53:57			00:00:00	
ROW137|700	1600699048	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:57:32			00:00:00	
ROW138|700	1600699049	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:01:12			00:00:00	
ROW139|700	1600699050	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:01:13			00:00:00	
ROW140|700	1600699051	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	03:04:38			00:00:00	
ROW141|700	1600699053	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:05:57			00:00:00	
ROW142|700	1600699054	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	03:07:57			00:00:00	
ROW143|700	1600699055	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	03:07:58			00:00:00	
ROW144|700	1600699056	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:13:27			00:00:00	
ROW145|700	1600699057	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:14:43			00:00:00	
ROW146|700	1600699058	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:18:17			00:00:00	
ROW147|700	1600699059	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	03:18:19			00:00:00	
ROW148|700	1600699060	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	03:21:44			00:00:00	
ROW149|700	1600699061	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:25:18			00:00:00	
ROW150|700	1600699062	a	Z006		24.03.2026				C			SCLADMIN	31.03.2026	03:25:18			00:00:00	
ROW151|700	1600699063	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:27:42			00:00:00	
ROW152|700	1600699064	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:28:38			00:00:00	
ROW153|700	1600699065	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:31:58			00:00:00	
ROW154|700	1600699066	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	03:35:23			00:00:00	
ROW155|700	1600699067	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:35:23			00:00:00	
ROW156|700	1600699068	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:35:25			00:00:00	
ROW157|700	1600699069	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:38:52			00:00:00	
ROW158|700	1600699070	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	03:42:17			00:00:00	
ROW159|700	1600699071	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:42:19			00:00:00	
ROW160|700	1600699072	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:45:37			00:00:00	
ROW161|700	1600699073	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:49:13			00:00:00	
ROW162|700	1600699074	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:49:13			00:00:00	
ROW163|700	1600699075	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:59:22			00:00:00	
