17.09.2026             Dynamic List Display                                                                       1


	VBELN	ERNAM	ERDAT	VSTEL	LFART	INCO1	ROUTE	LIFSK	KUNNR	WADAT_IST	WERKS	SDABW	WBSTK	ZZVBELN

	9004800000	S011337	25.07.2026	1002	ZLF	FTB	Q54928		0020372868	25.07.2026			C
	9004800001	SH01290	25.07.2026	6846	ZNP	FTP	E35469		0040064727	25.07.2026		SP08	C
	9004800002	S011337	25.07.2026	1002	ZLF	FTB	Q54928		0020372868	25.07.2026			C
	9004800003	SH01034	25.07.2026	6582	ZNP	FTP	D31462		0020361463	25.07.2026		SP01	C
	9004800004	S014445	25.07.2026	1006	ZLF	FTB	P06938		0020373186	26.07.2026			C
	9004800005	SH01436	25.07.2026	3934	ZNP	FTP	E65170		0020022942	25.07.2026		SP01	C
	9004800006	SH01402	25.07.2026	8292	ZNP	FTP	E84848		0020372056	25.07.2026		SP01	C
	9004800007	SH01297	25.07.2026	6841	ZNP	FTP	E35366		0011042782	25.07.2026		SP01	C
	9004800008	SH01419	25.07.2026	4925	ZNP	EXP	E38036		0011016822	25.07.2026		SP01	C
	9004800009	SH01589	25.07.2026	6120	ZNP	FTB	D49136		0020362127	25.07.2026		SP01	C
	9004800010	S004154	25.07.2026	1304	ZNL	FTB	Q75511		P3893		3893
	9004800011	S004791	25.07.2026	1005	ZNP	FTB	Q09290		0020318990	25.07.2026			C
	9004800012	SH01508	25.07.2026	3857	ZNP	FTB	E60481		0011103500	25.07.2026		SP01	C
	9004800013	SH00139	25.07.2026	5177	ZNP	FTP	E25794		0020134356	25.07.2026		SP05	C
	9004800014	SH00071	25.07.2026	4610	ZNP	FTP	E17606		0020049796	25.07.2026		SP02	C
	9004800015	SH01739	25.07.2026	3885	ZNP	FTB	E62152		0011044691	25.07.2026		SP01	C
	9004800016	SH01034	25.07.2026	6582	ZNP	FTP	D31459		0011052050	25.07.2026		SP01	C
	9004800017	SH01361	25.07.2026	3888	ZNP	FTP	E61998		0020070087	25.07.2026		SP01	C
	9004800018	S021579	25.07.2026	1007	ZNP	FTB	Q15765		0020358448	25.07.2026			C
	9004800019	SH01554	25.07.2026	4450	ZNP	FTP	E50680		0040082772	25.07.2026		SP01	C
	9004800020	S023364	25.07.2026	1071	ZLF	FTB	Q38135		0020354854	26.07.2026			C
	9004800021	S023364	25.07.2026	1071	ZLF	FTB	Q38160		0020369044
	9004800022	S021579	25.07.2026	1007	ZNP	FTB	Q15765		0020358448	25.07.2026			C
	9004800023	SH01589	25.07.2026	6120	ZNP	FTB	D37894		0040013083	25.07.2026		SP01	C
	9004800024	SH01419	25.07.2026	4925	ZNP	EXP	E38036		0011016822	25.07.2026		SP01	C
	9004800025	SH00139	25.07.2026	5177	ZNP	FTP	E25794		0020134356	25.07.2026		SP05	C
	9004800026	S018209	25.07.2026	1079	ZNL	EXP	Q43802		P4447	26.07.2026	4447		C
	9004800027	SH01823	25.07.2026	3977	ZNP	FTP	E73953		0020161391	25.07.2026		SP01	C
	9004800028	S004154	25.07.2026	1304	ZLF	FTB	Q13991		0020361787	25.07.2026			C
	9004800029	S004154	25.07.2026	1304	ZLF	FTB	Q13991		0020361787	25.07.2026			C
	9004800030	SH01739	25.07.2026	3885	ZNP	FTB	E62152		0011044691	25.07.2026		SP01	C
	9004800031	S023364	25.07.2026	1071	ZLF	FTB	Q38171		0020335004	26.07.2026			C
	9004800032	S023364	25.07.2026	1071	ZNP	FTB	Q22559		0020335318
	9004800033	S023364	25.07.2026	1071	ZNP	FTB	Q22559		0020335318
	9004800034	SH00941	25.07.2026	4453	ZNP	FTP	E55393		0011023650	25.07.2026		SP01	C
	9004800035	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800036	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800037	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800038	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800039	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800040	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800041	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800042	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800043	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800044	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800045	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800046	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800047	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800048	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800049	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005		1005
	9004800050	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800051	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005		1005
	9004800052	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
	9004800053	S017789	25.07.2026	1004	ZNL	EXP	P25968		P1005	27.07.2026	1005		C
