MANDT	RUUID	VBELV	POSNV	VBELN	POSNN	VBTYP_N	RFMNG	MEINS	RFWRT	WAERS	VBTYP_V	PLMIN	TAQUI	ERDAT	ERZET	MATNR	BWART	BDART	PLART	LGNUM	AEDAT	FKTYP	BRGEW	GEWEI	VOLUM	VOLEH	FPLNR	FPLTR	RFMNG_FLO	RFMNG_FLT	VRKME	ABGES	SOBKZ	SONUM	KZBEF	NTGEW	LOGSYS	WBSTA	CMETH	MJAHR	STUFE	_DATAAGING
700	AFA4939EE3631FD1A5DC4000BE03F023	0005283829	000010	9004953070	000010	J	15	TO			C	+		13.08.2026	12:11:24		601											000000	1.5000000000000000E+01	1.5000000000000000E+01	TO	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DC40970B1A7047	0005280414	000010	9004953071	000010	J	15	TO			C	+		13.08.2026	12:11:31		601											000000	1.5000000000000000E+01	1.5000000000000000E+01	TO	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DC50F98104133A	9004953069	000000	2101800551	000001	8					J			13.08.2026	12:15:11													000000	0.0000000000000000E+00	0.0000000000000000E+00		0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DC514E1025B358	9004953069	000010	2253069000	121516	R	0	TO	0.00	INR	J	+		13.08.2026	12:15:16	000000000015000114												000000	0.0000000000000000E+00	0.0000000000000000E+00	TO	0.0000000000000000E+00								2026	00	
700	AFA4939EE3631FD1A5DC514E1025D358	9004953069	900001	4918168242	000001	R	15	TO	56,622.75	INR	J	+		13.08.2026	12:15:16	000000000015000114	641											000000	1.5000000000000000E+01	1.5000000000000000E+01	TO	0.0000000000000000E+00								2026	00	
700	AFA4939EE3631FD1A5DC51B81E031369	9004953069	900001	1108024760	000001	M	15	TO	52,500.00	INR	J	+		13.08.2026	12:15:19							L						000000	1.5000000000000000E+01	1.5000000000000000E+01	TO	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DC5C708F3B758B	0005281026	000010	9004953072	000010	J	21	TO			C	+		13.08.2026	12:17:44		601											000000	2.1000000000000000E+01	2.1000000000000000E+01	TO	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DC5F7D68DBF613	0005282195	000010	9004953073	000010	J	16	TO			C	+		13.08.2026	12:18:25		601											000000	1.6000000000000000E+01	1.6000000000000000E+01	TO	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DC6270C646F6AB	0005274983	000010	9004953074	000010	J	15	TO			C	+		13.08.2026	12:19:05		601											000000	1.5000000000000000E+01	1.5000000000000000E+01	TO	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DC9353C4B4F92C	0040317565	000000	0005284480	000000	C			521,186.44	INR	G			13.08.2026	12:30:01													000000	0.0000000000000000E+00	0.0000000000000000E+00		0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DC9353C4B5592C	0040317565	000010	0005284480	000010	C	65	TO	297,457.63	INR	G	+		13.08.2026	12:30:01													000000	6.5000000000000000E+01	6.5000000000000000E+01	TO	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DC944A75A3192F	0040316340	000010	0005284480	000020	C	55	TO	223,728.81	INR	G	+		13.08.2026	12:30:14													000000	5.5000000000000000E+01	5.5000000000000000E+01	TO	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DE98739D292105	0040320358	000000	0005284482	000000	C			84.75	INR	G			13.08.2026	14:25:43													000000	0.0000000000000000E+00	0.0000000000000000E+00		0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DE98739D298105	0040320358	000010	0005284482	000010	C	1	TO	84.75	INR	G	+		13.08.2026	14:25:43													000000	1.0000000000000000E+00	1.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF786632DA8B60	1107233972	000000	0070916773	000010	L	1	EA	401.31	INR	M			13.08.2026	15:15:48													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF786632DACB60	1107233972	000000	0070916773	000020	L	1	EA	892.50	INR	M			13.08.2026	15:15:48													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF788BECE4CB63	0070916773	000010	1300851616	000010	P	1	EA	401.31	INR	L	+		13.08.2026	15:15:49							A						000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF788BECE4EB63	0070916773	000020	1300851616	000020	P	1	EA	892.50	INR	L	+		13.08.2026	15:15:49							A						000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF788BECEB0B63	1106758267	000000	0070916774	000010	L	1	EA	96.69	INR	M			13.08.2026	15:15:51													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF788BECEB4B63	1106768040	000000	0070916774	000020	L	1	EA	96.69	INR	M			13.08.2026	15:15:51													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF788BECEB8B63	1106839824	000000	0070916774	000030	L	1	EA	96.69	INR	M			13.08.2026	15:15:51													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF788BECEBCB63	1106867364	000000	0070916774	000040	L	1	EA	96.69	INR	M			13.08.2026	15:15:51													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
