"BusinessApiId"	"BusinessApiName"	"Project"	"Description"	"CreatedBy"	"CreatedOn"	"LastChangedOn"	"MatchedTerms"	"BusinessObjectFit"	"RequiredOperationFitAtDiscovery"	"CandidateTier"	"CandidateRationale"	"SiblingFamily"	"ExistingDeepDiveStatus"	"RejectionReason"	"EvidenceSource"	"OpenGate"	"ProposedNextAction"	"LocalRuntimeRegistered"
"API-01"	"Submit MIGO"	"API_MATERIAL_DOCUMENT"	"OData Service for Material Document API"	"SAP"	"08.11.2016"	"24.02.2022"	"MATERIAL DOCUMENT"	"DIRECT"	"LIKELY-COVERS"	"TIER-A"	"Multi-item deep insert carries one storage location and quantity per item, matching the mandatory v1.7 Allocations[] collection; header key MaterialDocument+MaterialDocumentYear is the required response key."	"none"	"COMPLETE 2026-08-15"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered | API_MATERIAL_DOCUMENT_DEEP_DIVE.md"	"ID-1 STO document flow; MD-3 GoodsMovementCode"	"Hold pending ID-1; already deep-dived"	"NO"
"API-01"	"Submit MIGO"	"MMIM_GR4PO_DL"	"oData Service Goods receipt Purchase Order/Del."	"SAP"	"13.05.2014"	"20.05.2022"	"GOODS RECEIPT"	"DIRECT"	"UNKNOWN"	"TIER-A"	"Description is literally goods receipt for Purchase Order/Delivery - the exact reference combination v1.7 API-01 needs. Entirely missed by the API_* reduction."	"MMIM GR family"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	"Is it a Fiori app service or a reusable API?"	"DEEP DIVE - highest-value new discovery for API-01"	"NO"
"API-01"	"Submit MIGO"	"MMIM_MATDOC"	"oData Service Material Document"	"SAP"	"10.09.2014"	"23.02.2022"	"MATERIAL DOCUMENT; MATDOC"	"RELATED"	"UNKNOWN"	"TIER-A"	"Material-document OData service that is ALREADY REGISTERED in QS4, unlike API_MATERIAL_DOCUMENT_SRV. Registration status alone justifies inspection."	"MMIM MATDOC family"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as MMIM_MATDOC_SRV v1"	"Fiori app service vs integration API; create capability unknown"	"DEEP DIVE - compare create surface against API_MATERIAL_DOCUMENT"	"YES"
"API-01"	"Submit MIGO"	"MMIM_MATDOC_OV"	"Odata Service: Material Documents Overview"	"SAP"	"08.04.2016"	"27.01.2022"	"MATDOC"	"RELATED"	"READ-ONLY"	"TIER-C"	"Material Documents Overview; registered in QS4. Overview/analytical shape suggests read-only."	"MMIM MATDOC family"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as MMIM_MATDOC_OV_SRV v1"	""	"Inspect only if MMIM_MATDOC proves relevant"	"YES"
"API-01"	"Submit MIGO"	"MMIM_GR_CANCELLATION"	"Cancellation of Goods Receipt"	"SAP"	"26.06.2014"	"26.07.2016"	"GOODS RECEIPT"	"RELATED"	"PARTIAL"	"TIER-C"	"Cancellation of Goods Receipt - relevant to receipt reversal, not to the v1.7 posting itself."	"MMIM GR family"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	"Revisit if reversal enters scope"	"NO"
"API-01"	"Submit MIGO"	"API_INBOUND_DELIVERY_0002"	"Remote API for Inbound Delivery"	"SAP"	"04.06.2018"	"05.04.2022"	"INBOUND DELIVERY"	"RELATED"	"NO"	"TIER-B"	"Posts goods receipt for an SAP inbound delivery but cannot carry storage-location allocations and returns no material-document key."	"inbound delivery"	"COMPLETE 2026-08-15"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered | API_INBOUND_DELIVERY_0002_DEEP_DIVE.md"	"ID-1 STO document flow"	"Hold as receiving-process companion only"	"NO"
"API-01"	"Submit MIGO"	"API_INBOUND_DELIVERY"	"Remote API for Inbound Delivery"	"SAP"	"20.06.2017"	"29.01.2021"	"INBOUND DELIVERY"	"RELATED"	"NO"	"TIER-C"	"Superseded ;v=1 generation retained as sibling baseline."	"inbound delivery"	"COMPLETE 2026-08-15"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered | INBOUND_DELIVERY_DELTA.md"	""	"No further work"	"NO"
"API-01"	"Submit MIGO"	"MM_PUR_REQ_CONF_GR"	"SSP Requisition Goods Receipt Confirmation"	"SAP"	"21.11.2019"	"02.02.2022"	"GOODS RECEIPT"	"WRONG-OBJECT"	"NO"	"REJECTED"	"Self-service procurement requisition confirmation."	""	"N/A"	"SSP requisition GR confirmation is a different process from depot goods receipt against a delivery."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-01"	"Submit MIGO"	"API_CUSTOMER_RETURNS_DELIVERY"	"Remote API for Customer Returns Delivery"	"SAP"	"10.10.2017"	"29.01.2021"	""	"WRONG-OBJECT"	"NO"	"REJECTED"	"Returns delivery family."	"customer returns"	"N/A"	"CNF is not a customer-returns flow. Rejection carried forward from the original shortlist and re-confirmed."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-02"	"Create DI"	"API_OUTBOUND_DELIVERY_0002"	"Remote API for Outbound Delivery"	"SAP"	"04.06.2018"	"19.05.2022"	"OUTBOUND DELIVERY; DELIVERY"	"DIRECT"	"LIKELY-COVERS"	"TIER-A"	"A2X outbound delivery; SAP documents create with reference to a sales order, a stock transport order or a returns PO - covering both v1.7 predecessor types."	"outbound delivery"	"EXTRACTED 2026-08-15 - coverage report outstanding"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered | OUTBOUND_DELIVERY_DELTA.md"	"Not registered in QS4"	"Write the API-02/API-12 coverage report from existing evidence"	"NO"
