SESSION|QS4/700 located at connection[1] session[0]|user=QNOVATE8
SELFIELD|ctxtI11-LOW=C
TABLE|VFKK
TITLE|Data Browser: Table VFKK Select Entries      2,000
SBAR|Selection restricted to 2,000 hits
ALV|rows=2000|cols=18
HDR|MANDT	FKNUM	VBTYP	FKART	STERM	PRSDT	BUDAT	EXTI1	EXTI2	STBER	STFRE	STABR	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET	
ROW0|700	1100094229	a	Z001		25.09.2024				C	C	C	SCLADMIN	25.09.2024	17:00:32	SCLADMIN	25.09.2024	17:00:32	
ROW1|700	1100094246	a	Z001		25.09.2024				C	C	C	SCLADMIN	25.09.2024	16:40:32	SCLADMIN	25.09.2024	16:40:32	
ROW2|700	1100094248	a	Z001		25.09.2024				C	C	C	SCLADMIN	25.09.2024	17:00:32	SCLADMIN	25.09.2024	17:00:32	
ROW3|700	1100094266	a	Z001		25.09.2024				C	C	C	SCLADMIN	25.09.2024	17:00:32	SCLADMIN	25.09.2024	17:00:32	
ROW4|700	1100094309	a	Z001		25.09.2024				C	C	C	SCLADMIN	25.09.2024	18:30:31	SCLADMIN	25.09.2024	18:30:31	
ROW5|700	1100094342	a	Z001		25.09.2024				C	C	C	SCLADMIN	25.09.2024	18:40:32	SCLADMIN	25.09.2024	18:40:32	
ROW6|700	1100095144	a	Z001		27.09.2024				C	C	C	SCLADMIN	27.09.2024	18:00:33	SCLADMIN	27.09.2024	18:00:34	
ROW7|700	1100095164	a	Z001		27.09.2024				C	C	C	SCLADMIN	27.09.2024	18:00:33	SCLADMIN	27.09.2024	18:00:33	
ROW8|700	1100095178	a	Z001		27.09.2024				C	C	C	SCLADMIN	27.09.2024	18:30:31	SCLADMIN	27.09.2024	18:30:31	
ROW9|700	1100095460	a	Z001		28.09.2024				C	C	C	SCLADMIN	28.09.2024	16:40:32	SCLADMIN	28.09.2024	16:40:33	
ROW10|700	1100095463	a	Z001		28.09.2024				C	C	C	SCLADMIN	28.09.2024	16:40:32	SCLADMIN	28.09.2024	16:40:32	
ROW11|700	1100095479	a	Z001		28.09.2024				C	C	C	SCLADMIN	28.09.2024	17:00:32	SCLADMIN	28.09.2024	17:00:32	
ROW12|700	1100095489	a	Z001		28.09.2024				C	C	C	SCLADMIN	28.09.2024	17:00:32	SCLADMIN	28.09.2024	17:00:32	
