MANDT	EBELN	EBELP	ZEKKN	VGABE	GJAHR	BELNR	BUZEI	BEWTP	BWART	BUDAT	MENGE	BPMNG	DMBTR	WRBTR	WAERS	AREWR	WESBS	BPWES	SHKZG	BWTAR	ELIKZ	XBLNR	LFGJA	LFBNR	LFPOS	GRUND	CPUDT	CPUTM	REEWR	EVERE	REFWR	MATNR	WERKS	XWSBR	ETENS	KNUMV	MWSKZ	TAX_COUNTRY	LSMNG	LSMEH	EMATN	AREWW	HSWAE	BAMNG	CHARG	BLDAT	XWOFF	XUNPL	ERNAM	SRVPOS	PACKNO	INTROW	BEKKN	LEMIN	AREWB	REWRB	SAPRL	MENGE_POP	BPMNG_POP	DMBTR_POP	WRBTR_POP	WESBB	BPWEB	WEORA	AREWR_POP	KUDIF	RETAMT_FC	RETAMT_LC	RETAMTP_FC	RETAMTP_LC	XMACC	WKURS	INV_ITEM_ORIGIN	VBELN_ST	VBELP_ST	SGT_SCAT	_DATAAGING	SESUOM	LOGSY	ET_UPD	/CWM/BAMNG	/CWM/WESBS	/CWM/TY2TQ	/CWM/WESBB	J_SC_DIE_COMP_F	FSH_SEASON_YEAR	FSH_SEASON	FSH_COLLECTION	FSH_THEME	QTY_DIFF	WRF_CHARSTC1	WRF_CHARSTC2	WRF_CHARSTC3
700	5600000339	00010	00	1	2024	5000018851	0001	E	101	06.02.2024	41.710	41.710	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	03:15:54	0.00		0.00	000000000014000035	1010		0000							0.00	INR	41.710		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080024605	000010						0.000	0.000		0.000						0.000			
700	5600000339	00010	00	1	2024	5000018851	0002	E	101	06.02.2024	0.140	0.140	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	03:15:54	0.00		0.00	000000000014000035	1010		0000							0.00	INR	0.140		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080024605	000010						0.000	0.000		0.000						0.000			
700	5600000339	00010	00	1	2024	5000018854	0001	E	101	06.02.2024	41.920	41.920	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	03:17:40	0.00		0.00	000000000014000035	1010		0000							0.00	INR	41.920		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080026356	000010						0.000	0.000		0.000						0.000			
700	5600000339	00010	00	1	2024	5000018896	0001	E	101	06.02.2024	42.110	42.110	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	03:30:19	0.00		0.00	000000000014000035	1010		0000							0.00	INR	42.110		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080026357	000010						0.000	0.000		0.000						0.000			
700	5600000339	00010	00	1	2024	5000018912	0001	E	101	06.02.2024	41.660	41.660	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	03:35:48	0.00		0.00	000000000014000035	1010		0000							0.00	INR	41.660		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080000272	000010						0.000	0.000		0.000						0.000			
700	5600000339	00010	00	1	2024	5000018912	0002	E	101	06.02.2024	0.030	0.030	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	03:35:48	0.00		0.00	000000000014000035	1010		0000							0.00	INR	0.030		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080000272	000010						0.000	0.000		0.000						0.000			
700	5600000339	00010	00	1	2024	5000018955	0001	E	101	06.02.2024	41.770	41.770	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	03:56:28	0.00		0.00	000000000014000035	1010		0000							0.00	INR	41.770		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080021737	000010						0.000	0.000		0.000						0.000			
700	5600000339	00010	00	1	2024	5000018973	0001	E	101	06.02.2024	41.580	41.580	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	04:04:40	0.00		0.00	000000000014000035	1010		0000							0.00	INR	41.580		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080021743	000010						0.000	0.000		0.000						0.000			
700	5600000339	00010	00	1	2024	5000018973	0002	E	101	06.02.2024	0.040	0.040	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	04:04:40	0.00		0.00	000000000014000035	1010		0000							0.00	INR	0.040		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080021743	000010						0.000	0.000		0.000						0.000			
700	5600000339	00010	00	1	2024	5000019022	0001	E	101	06.02.2024	41.800	41.800	0.00	0.00	INR	0.00	0.000	0.000	S				0000		0000	0000	06.02.2024	04:31:10	0.00		0.00	000000000014000035	1010		0000							0.00	INR	41.800		06.02.2024			SCLADMIN		0000000000	0000000000	00		0.00	0.00	757	0.000	0.000	0.00	0.00	0.000	0.000		0.00	0.00	0.00	0.00	0.00	0.00		0.00000		0080025775	000010						0.000	0.000		0.000						0.000			
